notice,name,inst_type,entity,permco,dt_start,dt_end,PERMNO,date,TICKER,COMNAM
,"SOUTHERN NATIONAL BANCORP OF VIRGINIA, INC.",Bank Holding Company,3325740,51457,20061130,20210930,91622,2022-12-30,FRST,PRIMIS FINANCIAL CORP
,"ESSA BANCORP, INC.",Thrift holding company,3854268,52134,20070430,20210930,91959,2022-12-30,ESSA,E S S A BANCORP INC
,TFS FINANCIAL CORP,Thrift holding company,3828045,52142,20070430,20210930,91968,2022-12-30,TFSL,TFS FINANCIAL CORP
,DISCOVER FINANCIAL SERVICES,Bank holding company,3846375,52396,20090313,20210930,92121,2022-12-30,DFS,DISCOVER FINANCIAL SERVICES
,"FIRST FINANCIAL NORTHWEST, INC.",Thrift holding company,3843628,52773,20071031,20210930,92303,2022-12-30,FFNW,FIRST FINANCIAL NORTHWEST INC
,TOWNEBANK,Commercial Bank,2797724,52785,20071031,20210930,92318,2022-12-30,TOWN,TOWNEBANK
,NORTHFIELD BANCORP INC,Thrift holding company,3132863,52863,20071130,20210930,92443,2022-12-30,NFBK,NORTHFIELD BANCORP INC DE
,"MIDWESTONE FINANCIAL GROUP, INC.",Bank Holding Company,1245228,52970,20080331,20210930,92593,2022-12-30,MOFG,MIDWESTONE FINANCIAL GRP INC NEW
,MALVERN FEDERAL BANCORP INC,Thrift holding company,3805279,53026,20080530,20210930,92685,2022-12-30,MLVF,MALVERN BANCORP INC
,"BRIDGE BANCORP, INC.",Bank Holding Company,1416523,53043,20080630,20210930,92716,2022-12-30,DCOM,DIME COMMUNITY BANCSHRS INC NEW
,"FIRST SAVINGS FINANCIAL GROUP, INC.",Thrift holding company,3908929,53097,20081031,20210930,92809,2022-12-30,FSFG,FIRST SAVINGS FINANCIAL GRP INC
,"HOME BANCORP, INC.",Thrift holding company,3851191,53098,20081031,20210930,92810,2022-12-30,HBCP,HOME BANCORP INC
,OAK VALLEY BANCORP,Bank holding company,3726440,53116,20090130,20210930,92878,2022-12-30,OVLY,OAK VALLEY BANCORP
,"ORRSTOWN FINANCIAL SERVICES, INC.",Bank Holding Company,1248153,53141,20090430,20210930,92919,2022-12-30,ORRF,ORRSTOWN FINANCIAL SERVICES INC
,TERRITORIAL BANCORP INC.,Thrift holding company,3954681,53187,20090731,20210930,92987,2022-12-30,TBNK,TERRITORIAL BANCORP INC
,EMCLAIRE FINANCIAL CORP,Bank holding company,1480944,53285,20091130,20210930,93131,2022-12-30,EMCF,EMCLAIRE FINANCIAL CORP
,"FIRST INTERSTATE BANCSYSTEM, INC.",Bank Holding Company,1123670,53368,20100331,20210930,93304,2022-12-30,FIBK,FIRST INTERSTATE BANCSYSTEM INC
,EAGLE BANCORP MONTANA INC,Thrift holding company,4126609,53402,20100430,20210930,93368,2022-12-30,EBMT,EAGLE BANCORP MONTANA INC
,FIRST AMERICAN FINANCIAL CORPORATION,Thrift holding company,1250101,53407,20100630,20210930,93374,2022-12-30,FAF,FIRST AMERICAN FINL CORP NEW
,FIRST REPUBLIC BANK,Commercial Bank,4114567,53609,20101231,20210930,12448,2022-12-30,FRC,FIRST REPUBLIC BANK S F NEW
,ACNB CORPORATION,Bank Holding Company,1117464,53624,20101231,20210930,12480,2022-12-30,ACNB,A C N B CORP
,HOME FEDERAL BANCORP INC LA,Thrift holding company,4253121,53628,20101231,20210930,12487,2022-12-30,HFBL,HOME FEDERAL BANCORP INC LA
,"BANKUNITED, INC.",Bank holding company,4028712,53647,20110131,20210930,12515,2022-12-30,BKU,BANKUNITED INC
,ALLY FINANCIAL INC,Bank Holding Company,1562859,53687,20140430,20210930,14558,2022-12-30,ALLY,ALLY FINANCIAL INC
,IF BANCORP INC,Thrift holding company,4299316,53847,20110729,20210930,12920,2022-12-30,IROQ,I F BANCORP INC
,FARMERS NATIONAL BANC CORP.,Bank Holding Company,1071191,53882,20110930,20210930,13006,2022-12-30,FMNB,FARMERS NATIONAL BANC CORP
,LCNB CORP.,Bank Holding Company,2759900,53883,20110930,20210930,13007,2022-12-30,LCNB,L C N B CORP
,BANK OF THE JAMES FINANCIAL,Bank Holding Company,3217032,53976,20120131,20210930,13198,2022-12-30,BOTJ,BANK OF JAMES FINL GROUP INC
,"HOMESTREET, INC.",Thrift holding company,3843507,54001,20120229,20210930,13278,2022-12-30,HMST,HOMESTREET INC
,"HOMETRUST BANCSHARES, INC.",Thrift,4366003,54151,20120731,20210930,13534,2022-12-30,HTBI,HOMETRUST BANCSHARES INC
,"SOUND FINANCIAL BANCORP, INC.",Bank Holding Company,3843646,54169,20121228,20210930,13561,2022-12-30,SFBC,SOUND FINANCIAL BANCORP INC
